,country,resort,hotel,price,distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm)
0,italy,bardonecchia,residence-tabor,550,unknown,1312,140,23,0,9,14,17.0,24.0,1.0,42.0,https://www.igluski.com/ski-resorts/italy/bardonecchia/residence-tabor_38648?holidayId=58413613,unknown,70,170,60,200,47,177
1,italy,bardonecchia,residence-villa-frejus,561,unknown,1312,140,23,0,9,14,17.0,24.0,1.0,42.0,https://www.igluski.com/ski-resorts/italy/bardonecchia/residence-villa-frejus_38647?holidayId=58464837,unknown,70,170,60,200,47,177
2,bulgaria,bansko,hotel-mura,566,1100,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-mura_20914?holidayId=58542822,140,0,70,5,75,5,77
3,bulgaria,borovets,hotel-samokov,574,75,1390,58,18,1,4,13,1.0,13.0,1.0,15.0,https://www.igluski.com/ski-resorts/bulgaria/borovets/hotel-samokov_1092?holidayId=58456610,590,0,0,160,200,194,246
4,bulgaria,bansko,hotel-lion---bansko,596,800,935,70,24,1,7,16,5.0,8.0,1.0,14.0,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-lion---bansko_20625?holidayId=58322886,386,0,70,5,75,5,77
5,andorra,arinsal,hotel-xalet-besoli,597,500,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-xalet-besoli_2446?holidayId=58503135,66,30,60,130,180,120,170
6,austria,mayrhofen,hotel-obermair,601,600,630,600,52,8,27,17,43.0,75.0,15.0,133.0,https://www.igluski.com/ski-resorts/austria/mayrhofen/hotel-obermair_1829?holidayId=58408829,60,0,60,5,80,2,99
7,bulgaria,borovets,hotel-lion-borovets,603,1200,1390,58,18,1,4,13,1.0,13.0,1.0,15.0,https://www.igluski.com/ski-resorts/bulgaria/borovets/hotel-lion-borovets_20502?holidayId=58429096,314,0,0,160,200,194,246
8,andorra,arinsal,hotel-xalet-verdu,606,300,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-xalet-verdu_1602?holidayId=58515499,104,30,60,130,180,120,170
9,andorra,arinsal,hotel-patagonia,632,100,1550,63,30,2,11,13,22.0,16.0,4.0,42.0,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-patagonia_7184?holidayId=58452151,160,30,60,130,180,120,170
